a52dec 0.7.4-10
libmpeg2 0.5.1-6
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnftnl 1.1.3-1
libnghttp2 1.36.0-1
libnl 3.4.0-1
libnm 1.20.0-1
libnm-glib 1.18.2-1
libnma 1.8.22-1
libnotify 0.7.8-1
libnsl 1.2.0-1
liboauth 1.0.3+14+g186fb14-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.16-1
libpeas 1.22.0-3
libpgm 5.2.122-3
libpipeline 1.5.1-1
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 12.2-2
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libraw1394 2.1.2-2
librsvg 2:2.44.14+1+g17bb3cd6-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.1-2
libsecret 0.18.8-2
libshout 1:2.4.3-1
libsigc++ 2.10.2-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.66.2+4+g716acf96-1
libsoxr 0.1.3-1
libssh 0.9.0-1
libssh2 1.8.2-1
libsynctex 2019.51075-2
libtar 1.2.20-4
libtasn1 4.14-1
libteam 1.29-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-5
libunistring 0.9.10-1
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.34-3
libuv 1.30.1-1
libva 2.5.0-1
libvdpau 1.2-1
libvisual 0.4.0-7
libvorbis 1.3.6-1
libvpx 1.8.1-1
libwacom 0.33-1
libwebp 1.0.3-1
libx11 1.6.8-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.13.7-1
libxfce4util 4.13.5-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-2
libxmu 1.1.3-1
libxnvctrl 430.40-3
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
licenses 20181104-1
lightdm 1:1.30.0-2
lightdm-gtk-greeter 1:2.0.6-1
linux 5.2.6.arch1-1
linux-api-headers 5.1-1
linux-firmware 20190717.bf13a71-1
linux-lts 4.19.61-1
llvm-libs 8.0.1-1
lm_sensors 3.5.0-1
logrotate 3.15.0-1
lshw B.02.18-3
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
lvm2 2.02.185-1
lxappearance 0.6.3-2
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.01-1
mdadm 4.1-1
media-player-info 24-1
mesa 19.1.3-1
mesa-demos 8.4.0-1
minizip 1:1.2.11-3
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mmv 1.01b.orig-4
mobile-broadband-provider-info 20190116-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.11-1
mtdev 1.1.5-2
nam 1.15-6
nano 4.3-1
ncurses 6.1-6
nerd-fonts-complete 2.0.0-5
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.22-1
networkmanager 1.20.0-1
nm-connection-editor 1.8.22-1
nodejs 11.15.0-1
noto-fonts 20190111-2
noto-fonts-cjk 20190409-1
noto-fonts-emoji 20180810-2
npth 1.6-1
nspr 4.21-1
nss 3.45-1
ntp 4.2.8.p13-2
numactl 2.0.12-2
nvidia 430.40-2
nvidia-lts 1:430.40-1
nvidia-settings 430.40-3
nvidia-utils 430.40-1
opencore-amr 0.1.5-2
openjpeg2 2.3.1-1
openresolv 3.9.1-1
openssh 8.0p1-2
openssl 1.1.1.c-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.76-1
otcl 1.14-7
p11-kit 0.23.16.1-1
pacman 5.1.3-1
pacman-mirrorlist 20190614-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.3-1
pangomm 2.42.0-1
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.0-3
perl-error 0.17027-2
perl-file-which 1.23-2
